train_loss,val_loss
0.9942328503257349,0.28639575839042664
0.9474996278160497,0.2479534149169922
0.8831806484021638,0.1948775202035904
0.8046576706986678,0.15097129344940186
0.7542621267469306,0.14786840975284576
0.7309621089383176,0.14943835139274597
0.7024210867128874,0.15159784257411957
0.6744766950607299,0.14941735565662384
0.6628475151563945,0.14666616916656494
0.6566497802734375,0.14562354981899261
0.6491507097294457,0.14373095333576202
0.6425570237009148,0.14292630553245544
0.635649878100345,0.14217627048492432
0.6265534727196944,0.1423472911119461
0.6167394581593966,0.14233183860778809
0.6063877526082491,0.14301295578479767
0.5996465908853631,0.1438843458890915
0.5957929611206054,0.1431467980146408
0.5932122255626477,0.14215444028377533
0.590777399665431,0.14068320393562317
0.5883412963465641,0.1399374008178711
0.5863648772239685,0.13915623724460602
0.5850067599823601,0.13874661922454834
0.5830525153561642,0.13830624520778656
0.5815975612715671,0.13833491504192352
0.5801418373459264,0.13807018101215363
0.5789531017604627,0.13796256482601166
0.5772934543459038,0.13761985301971436
0.5760676622390747,0.13735315203666687
0.5745783990935276,0.1372111737728119
0.573324580882725,0.1367608904838562
0.5719960783657275,0.13667786121368408
0.5708639941717449,0.13675682246685028
0.5696091256643596,0.13647767901420593
0.5684231921246178,0.13655005395412445
0.5671254051359076,0.1363762766122818
0.5659816516073126,0.13595616817474365
0.5645376098783392,0.13589385151863098
0.5632411724642703,0.1358715295791626
0.5620783736831263,0.13572081923484802
0.5608146184369137,0.13573434948921204
0.5594247432131516,0.13571858406066895
0.5582332080916355,0.13556919991970062
0.557022813433095,0.13517293334007263
0.5557430985726808,0.13538217544555664
0.5545113014547448,0.13530109822750092
0.553412800086172,0.1351613700389862
0.5522840001081165,0.13551504909992218
0.5512135091580843,0.1350056231021881
0.5504132575110385,0.13496099412441254
0.549281728895087,0.13452616333961487
0.5483966212523611,0.13487738370895386
0.5475551548757052,0.1346173882484436
0.5467741464313708,0.13414549827575684
0.5460344527897082,0.13398587703704834
0.5451008166137494,0.133968323469162
0.5444956465771323,0.1336902678012848
0.5435630446986148,0.13360045850276947
0.5428676241322568,0.13338041305541992
0.5421042705837049,0.1330285668373108
