train_loss,val_rmse,val_mae
0.3218459334424747,0.7594664096832275,0.5515170097351074
0.23953008087732458,0.7189855575561523,0.5034370422363281
0.21242189939304065,0.6915323138237,0.4794411063194275
0.19807304272087672,0.6839463114738464,0.45991066098213196
0.19345866377635668,0.6730496287345886,0.4575938880443573
0.19185708282134867,0.6707295775413513,0.45578327775001526
0.1878538768778565,0.6645699143409729,0.44841131567955017
0.18686131543369702,0.6725053787231445,0.4415138363838196
0.18184835731342275,0.6568071842193604,0.44784659147262573
0.18070897498438435,0.6664077043533325,0.44854867458343506
0.17607717757583946,0.6604276299476624,0.43226173520088196
0.17105387154445853,0.6487123966217041,0.42564138770103455
0.172892713803117,0.6522048711776733,0.4330601990222931
0.17286674599814159,0.6533116698265076,0.43175679445266724
0.16602679965316608,0.6564338803291321,0.43528836965560913
0.16077856068970053,0.646172046661377,0.4352385997772217
